country,mf-life-expectancy,female,male
Chad,55.24,57.19,53.36
Nigeria,54.64,54.94,54.33
South Sudan,57.74,60.75,54.76
Lesotho,57.8,60.44,55.03
Central African Republic,57.67,59.56,55.51
Somalia,58.97,61.55,56.49
Burkina Faso,61.29,63.43,59.11
Mali,60.68,62.15,59.25
Benin,60.96,62.42,59.52
Guinea,60.9,62.09,59.66
DR Congo,62.07,64.23,59.96
Côte d'Ivoire,62.11,64.31,60.17
Sierra Leone,61.96,63.7,60.23
Mozambique,63.8,66.74,60.49
Niger,61.43,62.41,60.49
Zimbabwe,63.06,65.31,60.49
Liberia,62.32,63.63,61.02
Eswatini,64.26,67.11,61.32
Kenya,63.83,66.12,61.64
Burundi,63.82,65.88,61.75
Cameroon,63.97,66.23,61.78
Guinea-Bissau,64.25,66.55,61.82
Haiti,65.12,68.49,61.9
Madagascar,63.84,65.6,62.12
Equatorial Guinea,63.91,65.89,62.22
Angola,64.81,67.34,62.28
Togo,62.93,63.15,62.7
South Africa,66.31,69.79,62.78
Ghana,65.7,68.16,63.31
Namibia,67.52,71.48,63.45
Sudan,66.52,69.83,63.45
Djibouti,66.2,68.74,63.73
Papua New Guinea,66.26,69.21,63.84
Myanmar,67.1,70.38,63.99
Zambia,66.53,68.87,64.1
Malawi,67.56,70.77,64.27
Congo,66,67.72,64.33
Gambia,66.06,67.75,64.35
Ethiopia,67.6,71.02,64.36
Tanzania,67.21,70,64.4
Kiribati,66.6,68.32,64.69
Afghanistan,66.29,67.81,64.7
Comoros,67.02,69.2,65.02
State of Palestine,69.21,74.25,65.22
Pakistan,67.8,70.32,65.46
Fiji,67.46,69.54,65.47
Uganda,68.49,71.37,65.49
Rwanda,68.02,70.14,65.71
Gabon,68.51,71.24,66.06
Bolivia,68.74,71.32,66.27
Timor-Leste,67.9,69.67,66.27
Sao Tome & Principe,69.91,73.91,66.41
Guyana,70.32,74.09,66.62
Mauritania,68.71,70.73,66.7
Moldova,71.33,75.67,66.7
Eritrea,68.89,70.94,66.76
Botswana,69.29,71.85,66.78
Philippines,69.95,72.96,66.99
Turkmenistan,70.2,73.01,67
Senegal,68.92,71.01,67.01
Laos,69.23,71.53,67.02
Yemen,69.44,71.55,67.37
Russia,73.34,79.19,67.48
Mongolia,71.99,76.66,67.49
El Salvador,72.3,76.49,67.76
Cambodia,70.82,73.36,68.15
Kyrgyzstan,71.82,75.4,68.31
St. Vincent & Grenadines,71.38,74.48,68.78
Venezuela,72.67,76.66,68.89
Jamaica,71.61,74.15,69.08
Nepal,70.64,72.14,69.09
Indonesia,71.29,73.43,69.16
Solomon Islands,70.69,72.18,69.36
Saint Lucia,72.85,76.45,69.45
