rank,country,happiness2021,happiness2020,pop2022
1,Finland,7.842,7.808700085,5540745
2,Denmark,7.62,7.645599842,5882261
3,Switzerland,7.571,7.559899807,8740472
4,Iceland,7.554,7.504499912,372899
5,Netherlands,7.464,7.448900223,17564014
6,Norway,7.392,7.487999916,5434319
7,Sweden,7.363,7.353499889,10549347
8,Luxembourg,7.324,7.237500191,647599
9,New Zealand,7.277,7.299600124,5185288
10,Austria,7.268,7.294199944,8939617
11,Australia,7.183,7.222799778,26177413
12,Israel,7.157,7.128600121,9038309
13,Germany,7.155,7.075799942,83369843
14,Canada,7.103,7.23210001,38454327
15,Ireland,7.085,7.093699932,5023109
16,Costa Rica,7.069,7.121399879,5180829
17,United Kingdom,7.064,7.164500237,67508936
18,Czech Republic,6.965,6.910900116,10493986
19,United States,6.951,6.939599991,338289857
20,Belgium,6.834,6.863500118,11655930
21,France,6.69,6.663799763,64626628
22,Bahrain,6.647,6.227300167,1472233
23,Malta,6.602,6.772799969,533286
24,Taiwan Province of China,6.584,6.45539999,23893394
25,United Arab Emirates,6.561,6.790800095,9441129
26,Saudi Arabia,6.494,6.406499863,36408820
27,Spain,6.491,6.400899887,47558630
28,Italy,6.483,6.38740015,59037474
29,Slovenia,6.461,6.363399982,2119844
30,Guatemala,6.435,6.398900032,17843908
31,Uruguay,6.431,6.440100193,3422794
32,Singapore,6.377,6.377099991,5975689
33,Slovakia,6.331,6.280600071,5643453
34,Brazil,6.33,6.375599861,215313498
35,Mexico,6.317,6.465000153,127504125
36,Jamaica,6.309,5.889800072,2827377
37,Lithuania,6.255,6.215499878,2750055
38,Cyprus,6.223,6.15899992,1251488
39,Estonia,6.189,6.021800041,1326062
40,Panama,6.18,6.304800034,4408581
41,Uzbekistan,6.179,6.257599831,34627652
42,Chile,6.172,6.228499889,19603733
43,Poland,6.166,6.186299801,39857145
44,Kazakhstan,6.152,6.057899952,19397998
45,Romania,6.14,6.123700142,19659267
46,Kuwait,6.106,6.102099895,4268873
47,Serbia,6.078,5.77820015,7221365
48,El Salvador,6.061,6.34829998,6336392
49,Mauritius,6.049,6.101299763,1299469
50,Latvia,6.032,5.949999809,1850651
51,Colombia,6.012,6.163400173,51874024
52,Hungary,5.992,6.000400066,9967308
53,Thailand,5.985,5.998799801,71697030
54,Nicaragua,5.972,6.13710022,6948392
55,Japan,5.94,5.870800018,123951692
56,Argentina,5.929,5.974699974,45510318
57,Portugal,5.929,5.910900116,10270865
58,Honduras,5.919,5.953199863,10432860
59,Croatia,5.882,5.504700184,4030358
60,Philippines,5.88,6.006000042,115559009
61,South Korea,5.845,5.872399807,51815810
62,Peru,5.84,5.796800137,34049588
63,Bosnia and Herzegovina,5.813,5.674099922,3233526
64,Moldova,5.766,5.607500076,3272996
65,Ecuador,5.764,5.925199986,18001000
66,Kyrgyzstan,5.744,5.541500092,6630623
67,Greece,5.723,5.514999866,10384971
68,Bolivia,5.716,5.747499943,12224110
69,Mongolia,5.677,5.456200123,3398366
70,Paraguay,5.653,5.692100048,6780744
71,Montenegro,5.581,5.54610014,627082
72,Dominican Republic,5.545,5.689199924,11228821
73,Belarus,5.534,5.539899826,9534954
74,Hong Kong S.A.R. of China,5.477,5.510399818,7488865
75,Russia,5.477,5.546000004,144713314
76,Tajikistan,5.466,5.555699825,9952787
77,Vietnam,5.411,5.353499889,98186856
78,Libya,5.41,5.488800049,6812341
79,Malaysia,5.384,5.384300232,33938221
80,Indonesia,5.345,5.285600185,275501339
81,Congo (Brazzaville),5.342,5.194399834,99010212
82,China,5.339,5.123899937,1425887337
83,Ivory Coast,5.306,5.233300209,28160542
84,Armenia,5.283,4.676799774,2780469
85,Nepal,5.269,5.137199879,30547580
86,Bulgaria,5.266,5.101500034,6781953
87,Maldives,5.198,5.197599888,523787
88,Azerbaijan,5.171,5.164800167,10358074
89,Cameroon,5.142,5.084899902,27914536
90,Senegal,5.132,4.980800152,17316449
91,Albania,5.117,4.882699966,2842321
92,North Macedonia,5.101,5.159800053,2093599
93,Ghana,5.088,5.147999763,33475870
94,Niger,5.074,4.909599781,26207977
95,Turkmenistan,5.066,5.119100094,6430770
96,Gambia,5.051,4.750599861,2705992
97,Benin,5.045,5.21600008,13352864
98,Laos,5.03,4.888599873,7529475
99,Bangladesh,5.025,4.832799911,171186372
100,Guinea,4.984,4.949299812,13859341
101,South Africa,4.956,4.814099789,59893885
102,Turkey,4.948,5.131800175,85341241
103,Pakistan,4.934,5.69329977,235824862
104,Morocco,4.918,5.094799995,37457971
105,Venezuela,4.892,5.053199768,28301696
106,Georgia,4.891,4.672599792,3744385
107,Algeria,4.887,5.005099773,44903225
108,Ukraine,4.875,4.56069994,39701739
109,Iraq,4.854,4.784800053,44496122
110,Gabon,4.852,4.829299927,2388992
111,Burkina Faso,4.834,4.768700123,22673762
112,Cambodia,4.83,4.848400116,16767842
113,Mozambique,4.794,4.623600006,32969517
114,Nigeria,4.759,4.724100113,218541212
115,Mali,4.723,4.729300022,22593590
116,Iran,4.721,4.672399998,88550570
117,Uganda,4.636,4.43200016,47249585
118,Liberia,4.625,4.557899952,5302681
119,Kenya,4.607,4.583000183,54027487
120,Tunisia,4.596,4.392199993,12356117
121,Lebanon,4.584,4.771500111,5489739
122,Namibia,4.574,4.571100235,2567012
123,Palestinian Territories,4.517,4.552800179,5250072
124,Myanmar,4.426,4.308000088,54179306
125,Jordan,4.395,4.633399963,11285869
126,Chad,4.355,4.422699928,17723315
127,Sri Lanka,4.325,4.327000141,21832143
128,Comoros,4.289,4.288599968,836774
129,Egypt,4.283,4.151400089,110990103
130,Ethiopia,4.275,4.186200142,123379924
131,Mauritania,4.227,4.374599934,4736139
132,Madagascar,4.208,4.165599823,29611714
133,Togo,4.107,4.187200069,8848699
134,Zambia,4.073,3.759399891,20017675
135,Sierra Leone,3.849,3.926399946,8605718
136,India,3.819,3.573299885,1417173173
137,Burundi,3.775,3.775300026,12889576
138,Yemen,3.658,3.527400017,33696614
139,Tanzania,3.623,3.476200104,65497748
140,Haiti,3.615,3.720799923,11584996
141,Malawi,3.6,3.538000107,20405317
142,Lesotho,3.512,3.652800083,2305825
143,Botswana,3.467,3.478899956,2630296
144,Rwanda,3.415,3.312299967,13776698
145,Zimbabwe,3.145,3.299200058,16320537
146,Afghanistan,2.523,2.566900015,41128771
